title,g0,g1,g2,g3,g4,g5,g6,g7,g8,g9,g10,g11,g12,g13,g14,g15,g16,g17,g18
In the Company of Men (1997),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Steel (1997),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mimic (1997),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
"Hunt for Red October, The (1990)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Kull the Conqueror (1997),0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Full Monty, The (1997)",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Gattaca (1997),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0
Starship Troopers (1997),0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
Good Will Hunting (1997),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Heat (1995),0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
Sabrina (1995),0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Sense and Sensibility (1995),0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Leaving Las Vegas (1995),0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Restoration (1995),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Bed of Roses (1996),0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Once Upon a Time... When We Were Colored (1995),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Up Close and Personal (1996),0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
"River Wild, The (1994)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Time to Kill, A (1996)",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Emma (1996),0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Tin Cup (1996),0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Secrets & Lies (1996),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"English Patient, The (1996)",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
Marvin's Room (1996),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Scream (1996),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
Evita (1996),0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
Fierce Creatures (1997),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Absolute Power (1997),0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
Rosewood (1997),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Donnie Brasco (1997),0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Liar Liar (1997),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Breakdown (1997),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Ulee's Gold (1997),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Face/Off (1997),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
Hoodlum (1997),0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
Air Force One (1997),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
In & Out (1997),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
L.A. Confidential (1997),0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0
Fly Away Home (1996),0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ice Storm, The (1997)",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Mrs. Brown (Her Majesty, Mrs. Brown) (1997)",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
"Devil's Advocate, The (1997)",0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0
FairyTale: A True Story (1997),0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Deceiver (1997),0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Rainmaker, The (1997)",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Wings of the Dove, The (1997)",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
Midnight in the Garden of Good and Evil (1997),0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0
Titanic (1997),0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Apt Pupil (1998),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
As Good As It Gets (1997),0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
In the Name of the Father (1993),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Schindler's List (1993),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
Everyone Says I Love You (1996),0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
Paradise Lost: The Child Murders at Robin Hood Hills (1996),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Mother (1996),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Murder at 1600 (1997),0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
Dante's Peak (1997),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Lost Highway (1997),0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Crash (1996),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
G.I. Jane (1997),0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
Cop Land (1997),0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
Conspiracy Theory (1997),0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
Desperate Measures (1998),0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
187 (1997),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Edge, The (1997)",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Kiss the Girls (1997),0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
"Game, The (1997)",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
U Turn (1997),0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
How to Be a Player (1997),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Playing God (1997),0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
"House of Yes, The (1997)",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
Bean (1997),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Mad City (1997),0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Boogie Nights (1997),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Man Who Knew Too Little, The (1997)",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Alien: Resurrection (1997),0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
"Apostle, The (1997)",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Deconstructing Harry (1997),0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Jackie Brown (1997),0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Wag the Dog (1997),0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Hard Rain (1998),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Fallen (1998),0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"Prophecy II, The (1998)",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Spice World (1997),0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"Wedding Singer, The (1998)",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Sphere (1998),0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
"Client, The (1994)",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
One Flew Over the Cuckoo's Nest (1975),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Spawn (1997),0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
"Assignment, The (1997)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Blues Brothers 2000 (1998),0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Sudden Death (1995),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ace Ventura: When Nature Calls (1995),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Powder (1995),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Dangerous Minds (1995),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Clueless (1995),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Bio-Dome (1996),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Black Sheep (1996),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Mary Reilly (1996),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"Bridges of Madison County, The (1995)",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Jeffrey (1995),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Judge Dredd (1995),0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Showgirls (1995),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Houseguest (1994),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Miracle on 34th Street (1994),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Tales From the Crypt Presents: Demon Knight (1995),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Star Trek: Generations (1994),0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Muriel's Wedding (1994),0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"Adventures of Priscilla, Queen of the Desert, The (1994)",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"Flintstones, The (1994)",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Naked Gun 33 1/3: The Final Insult (1994),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
True Lies (1994),0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Addams Family Values (1993),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Age of Innocence, The (1993)",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Beverly Hills Cop III (1994),0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Black Beauty (1994),0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Last Action Hero (1993),0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Man Without a Face, The (1993)",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Mrs. Doubtfire (1993),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Robin Hood: Men in Tights (1993),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Serial Mom (1994),0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
Super Mario Bros. (1993),0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Three Musketeers, The (1993)",0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Little Rascals, The (1994)",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brady Bunch Movie, The (1995)",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ghost (1990),0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
Batman (1989),0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Pinocchio (1940),0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mission: Impossible (1996),0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Thinner (1996),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
Spy Hard (1996),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Close Shave, A (1995)",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Jack (1996),0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Kingpin (1996),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nutty Professor, The (1996)",0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0
"Very Brady Sequel, A (1996)",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Tales from the Crypt Presents: Bordello of Blood (1996),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
My Favorite Year (1982),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Apple Dumpling Gang, The (1975)",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Old Yeller (1957),0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Parent Trap, The (1961)",0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Cinderella (1950),0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Mary Poppins (1964),0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Alice in Wonderland (1951),0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
William Shakespeare's Romeo and Juliet (1996),0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Aladdin and the King of Thieves (1996),0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
E.T. the Extra-Terrestrial (1982),0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0
Children of the Corn: The Gathering (1996),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Bob Roberts (1992),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Transformers: The Movie, The (1986)",0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0
To Kill a Mockingbird (1962),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Harold and Maude (1971),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Day the Earth Stood Still, The (1951)",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
Duck Soup (1933),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Highlander (1986),0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fantasia (1940),0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Heathers (1989),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Forbidden Planet (1956),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Butch Cassidy and the Sundance Kid (1969),0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"American Werewolf in London, An (1981)",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Amityville Horror, The (1979)",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Birds, The (1963)",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Blob, The (1958)",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
"Body Snatcher, The (1945)",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Carrie (1976),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Omen, The (1976)",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Star Trek: The Motion Picture (1979),0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Star Trek V: The Final Frontier (1989),0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Grease (1978),0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
Jaws 2 (1978),0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Bastard Out of Carolina (1996),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Jackie Chan's First Strike (1996),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Beverly Hills Ninja (1997),0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Free Willy 3: The Rescue (1997),0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Nixon (1995),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Cry, the Beloved Country (1995)",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Crossing Guard, The (1995)",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Smoke (1995),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Like Water For Chocolate (Como agua para chocolate) (1992),0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
"Secret of Roan Inish, The (1994)",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vanya on 42nd Street (1994),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Jungle Book, The (1994)",0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Red Rock West (1992),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Bronx Tale, A (1993)",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Rudy (1993),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Short Cuts (1993),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Tombstone (1993),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Courage Under Fire (1996),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
Dragonheart (1996),0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
James and the Giant Peach (1996),0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
Trainspotting (1996),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"First Wives Club, The (1996)",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Matilda (1996),0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Philadelphia Story, The (1940)",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Vertigo (1958),0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
North by Northwest (1959),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
"Apartment, The (1960)",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Some Like It Hot (1959),0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Casablanca (1942),0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
"Maltese Falcon, The (1941)",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
My Fair Lady (1964),0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
Sabrina (1954),0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Roman Holiday (1953),0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Sunset Blvd. (1950),0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Notorious (1946),0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
To Catch a Thief (1955),0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
"Adventures of Robin Hood, The (1938)",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
East of Eden (1955),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Thin Man, The (1934)",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
His Girl Friday (1940),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Around the World in 80 Days (1956),0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
It's a Wonderful Life (1946),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Bringing Up Baby (1938),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"African Queen, The (1951)",0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Cat on a Hot Tin Roof (1958),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Dumbo (1941),0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Bananas (1971),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
"Candidate, The (1972)",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Bonnie and Clyde (1967),0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Dial M for Murder (1954),0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
Rebel Without a Cause (1955),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Streetcar Named Desire, A (1951)",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"People vs. Larry Flynt, The (1996)",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
My Left Foot (1989),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Magnificent Seven, The (1954)",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Lawrence of Arabia (1962),0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Wings of Desire (1987),0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
"Third Man, The (1949)",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
Annie Hall (1977),0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"Boot, Das (1981)",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
Local Hero (1983),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Manhattan (1979),0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
Miller's Crossing (1990),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Treasure of the Sierra Madre, The (1948)",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Great Escape, The (1963)",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Deer Hunter, The (1978)",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
Down by Law (1986),0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Cool Hand Luke (1967),0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"Great Dictator, The (1940)",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Big Sleep, The (1946)",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Ben-Hur (1959),0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Gandhi (1982),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Killing Fields, The (1984)",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
My Life as a Dog (Mitt liv som hund) (1985),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Man Who Would Be King, The (1975)",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shine (1996),0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Kama Sutra: A Tale of Love (1996),0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Addicted to Love (1997),0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
My Own Private Idaho (1991),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
